,Name,position,Club,Fpl_ID,Fifa_ID,id,ep_this,points_per_game,chance_of_playing_this_round,minutes,selected_by_percent,ict_index,clean_sheets,assists,form,value_season,news,news_added,now_cost,soccer_one_ep_this,soccer_one_points_per_game,soccer_one_chance_of_playing_this_round,soccer_one_minutes,soccer_one_selected_by_percent,soccer_one_ict_index,soccer_one_clean_sheets,soccer_one_assists,soccer_one_form,soccer_one_value_season,aggregate
51,Ben White,Defender,Arsenal,67,231936,67,5.7,5.28,100.0,450,24.8,13.5,3,0,5.2,6.0,,2021-08-22T23:00:07.913439Z,4.4,1.9620719928556343,0.9720804948396801,0.3434147975799546,0.4722071636595267,1.6655910250956811,-0.006906984976856237,1.318120791727253,-0.36961063547728645,1.8114416744165174,1.0335320017277978,0.6572815943891358
69,Konstantinos Tsimikas,Defender,Liverpool,245,232223,245,1.2,6.96,,274,34.0,28.5,3,1,1.2,6.96,,,4.0,-0.4125069899642178,1.7107804950936332,,-0.3040191429075122,2.4820873325101434,1.3744900103943716,1.318120791727253,1.5523646690046031,-0.4062149958520854,1.3934728244308232,0.6220410710312151
11,Thiago Silva,Defender,Chelsea,121,164240,121,7.0,6.0,,376,8.6,25.9,2,0,6.0,5.3999999999999995,,,5.5,2.6480614767813693,1.2886662092342314,,0.14583928476202174,0.2278475272571711,1.1350478645300253,0.5479828010551501,-0.36961063547728645,2.254973008470238,0.8085689875384067,0.6205268945822376
0,Kyle Walker,Defender,Manchester City,249,188377,249,5.0,5.3999999999999995,,495,13.8,16.6,4,0,5.0,5.88,,,5.5,1.592693039972546,1.024844780572105,,0.6706741170431446,0.6893454401436064,0.2785817273998643,2.088258782399356,-0.36961063547728645,1.7005588409030872,0.9885393988899195,0.6188489637033101
16,Michael Keane,Defender,Everton,169,207599,169,5.0,4.919999999999999,,630,5.8,28.1,2,0,5.0,6.96,,,5.0,1.592693039972546,0.8137876376424038,,1.2660749771939983,-0.020651348912447853,1.3376527571844723,0.5479828010551501,-0.36961063547728645,1.7005588409030872,1.3934728244308232,0.5901400638566248
37,Lewis Dunk,Defender,Brighton,59,199915,59,4.5,4.919999999999999,,630,8.8,18.3,3,0,5.0,6.96,,,5.0,1.3288509307703402,0.8137876376424038,,1.2660749771939983,0.24559744698357255,0.43514005354193674,1.318120791727253,-0.36961063547728645,1.7005588409030872,1.3934728244308232,0.5808566334082949
1,Aymeric Laporte,Defender,Manchester City,259,212218,259,2.8,7.4399999999999995,100.0,450,7.2,24.6,4,0,2.8,6.72,,2021-09-15T23:00:10.965385Z,5.5,0.4317877594828406,1.921837638023334,0.3434147975799546,0.4722071636595267,0.10359808917236167,1.0153267915978526,2.088258782399356,-0.36961063547728645,0.4808476722553556,1.3034876187550666,0.55651111981774
96,Trevoh Chalobah,Defender,Chelsea,527,230918,527,5.2,9.6,,273,4.2,18.2,2,0,4.2,8.04,,,4.8,1.6982298836534284,2.871594781206988,,-0.3084295196493704,-0.16265070672365867,0.42593074023946176,0.5479828010551501,-0.36961063547728645,1.2570275068493668,1.7984062499717264,0.5541772215089862
55,Joël Veltman,Defender,Brighton,62,208004,62,4.3,4.8,100.0,405,2.6,15.8,2,1,4.8,5.3999999999999995,,2021-08-14T18:00:09.888942Z,4.4,1.2233140870894579,0.7610233519099789,0.3434147975799546,0.27374021027590884,-0.30465006453486954,0.20490722098006542,0.5479828010551501,1.5523646690046031,1.589676007389657,0.8085689875384067,0.5000244334491651
70,Takehiro Tomiyasu,Defender,Arsenal,590,232938,590,5.5,6.0,,331,5.8,8.8,3,0,5.0,5.159999999999999,,,4.6,1.856535149174752,1.2886662092342314,,-0.05262766862159617,-0.020651348912447853,-0.43974471019317424,1.318120791727253,-0.36961063547728645,1.7005588409030872,0.7185837818626503,0.42855931497839067
