,Name,position,Club,Fpl_ID,Fifa_ID,id,ep_this,points_per_game,chance_of_playing_this_round,selected_by_percent,minutes,threat,ict_index,influence,creativity,assists,form,value_season,news,news_added,now_cost,soccer_one_ep_this,soccer_one_points_per_game,soccer_one_chance_of_playing_this_round,soccer_one_selected_by_percent,soccer_one_minutes,soccer_one_threat,soccer_one_ict_index,soccer_one_influence,soccer_one_creativity,soccer_one_assists,soccer_one_form,soccer_one_value_season,aggregate
101,Vitaly Janelt,Midfielder,Brentford,84,235167,84,3.5,4.56,,0.6,511,90.0,32.1,117.0,112.9,0,4.0,5.52,Thigh injury - 75% chance of playing,2021-10-03T23:00:16.200398Z,5.0,1.0003630451310928,0.9700704634253053,,-0.379422258782,0.952760700966823,0.20814573967948874,0.6812320979623099,1.012905041330466,0.7552579828389987,-0.5539287314226619,1.353323076782245,1.4325074575427141,0.46457591346592386
13,Nicolas Pépé,Midfielder,Arsenal,17,226110,17,3.0,3.36,100.0,2.2,387,195.0,43.1,64.0,171.1,1,2.5,2.4,,2021-08-28T18:30:11.395641Z,7.1,0.7074513894178616,0.28508459483312615,0.4136510171658814,-0.21589496407862388,0.36233022373750184,1.5068479354725641,1.312964794185889,0.041910664736370576,1.7233709024868402,0.7986879383303497,0.430602797157987,-0.11507677636769739,0.45324565731737815
109,Sergi Canós,Midfielder,Brentford,81,224013,81,2.3,4.68,,4.2,577,104.0,27.4,116.8,53.2,1,2.8,5.88,,,5.5,0.29737507141933767,1.0385690502845233,,-0.011485845699403826,1.2670220840082358,0.3813060324518988,0.41130994593950765,1.0092409116074694,-0.2378063007172926,0.7986879383303497,0.6151468530828385,1.6110748691477619,0.4487775381159516
90,Stuart Dallas,Midfielder,Leeds United,188,203570,188,2.7,3.12,,13.2,617,91.0,29.2,93.2,106.6,1,2.2,4.08,,2021-10-02T17:30:10.439737Z,5.3,0.5317043959899229,0.1480874211146904,,0.9083551870070865,1.4574835282757588,0.22051433202037518,0.5146843871397297,0.5768736042938722,0.6504622544235105,0.7986879383303497,0.24605874123313554,0.7182378111225244,0.42319685005943475
22,Ferran Torres,Midfielder,Manchester City,268,241461,268,0.8,7.8,,15.8,303,204.0,32.3,88.6,30.0,1,0.8,4.56,,,6.9,-0.5813598957203561,2.8195323086241895,,1.1740870409000728,-0.037638809224296306,1.6181652665405422,0.6927181469845565,0.49259862066495064,-0.6237207291679787,0.7986879383303497,-0.6151468530828386,0.9563276932625875,0.4183906705069862
39,Adama Traoré,Midfielder,Wolves,435,213956,435,2.3,2.28,,6.2,456,208.0,48.1,102.0,170.5,0,1.8,2.64,,,6.0,0.29737507141933767,-0.3314026868998353,,0.19292327267981624,0.6908762150989789,1.667639635904088,1.6001160197420614,0.738095312105722,1.7133903569234605,-0.5539287314226619,0.0,0.003968164702334393,0.3761907893908313
14,Harvey Barnes,Midfielder,Leicester City,215,234742,215,2.2,2.76,,7.4,542,211.0,36.8,55.4,101.9,1,2.2,2.88,,,6.7,0.23879274027669162,-0.05740833946296358,,0.3155687437073483,1.1003683202741532,1.7047454129267472,0.9511542499851117,-0.11564691335248267,0.5722813141770355,0.7986879383303497,0.24605874123313554,0.12301310577236595,0.36735095711671834
53,Dwight McNeil,Midfielder,Burnley,118,243282,118,2.2,2.76,,0.4,614,86.0,40.6,158.4,160.9,0,2.2,3.24,,,5.9,0.23879274027669162,-0.05740833946296358,,-0.399863170619922,1.4431989199556945,0.15867137031594303,1.1693891814078028,1.7713798939907595,1.5537016279093836,-0.5539287314226619,0.24605874123313554,0.30158051737741365,0.3669732969350798
4,Mason Mount,Midfielder,Chelsea,138,233064,138,1.5,3.84,100.0,17.4,331,130.0,31.4,64.0,119.4,2,0.5,2.64,,2021-09-24T13:30:14.679428Z,7.4,-0.17128357772183228,0.5590789422699979,0.4136510171658814,1.3376143356034484,0.09568420176296975,0.702889433314946,0.6410309263844456,0.041910664736370576,0.8633805597756133,2.151304608083361,-0.7996909090076902,0.003968164702334393,0.36497114794186536
15,Martin Ødegaard,Midfielder,Arsenal,558,222665,558,5.0,4.8,,5.6,402,25.0,20.5,73.8,106.0,0,4.5,4.32,,,5.5,1.8790980122707865,1.1070676371437413,,0.13160053716605016,0.433753265337823,-0.5958127624781294,0.015041254671989827,0.22145302116320326,0.6404817088601308,-0.5539287314226619,1.6608965033236645,0.8372827521925562,0.36105832488932216
